"gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue",,,,,
"1838189682	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Felidae	Lynx	Lynx lynx		SPECIES	Lynx lynx (Linnaeus"," 1758)	NO	austerengdalen	46fec380-8e1d-11dd-8679-b8a03c50a862	65.018276	12.356161		5.0					2018-04-14T02:00Z	14	4	2018	2435240	2435240	HUMAN_OBSERVATION	NINA	Skandobs	74654			CC_BY_4_0		Marius Iversen			2018-04-20T09:23Z		GEODETIC_DATUM_ASSUMED_WGS84",,,,
"1838189681	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Gulo	Gulo gulo		SPECIES	Gulo gulo (Linnaeus"," 1758)	NO	Skred"," HÌügmoen-II	46fec380-8e1d-11dd-8679-b8a03c50a862	67.162032	14.882411		5.0					2018-04-16T02:00Z	16	4	2018	5219073	5219073	HUMAN_OBSERVATION	NINA	Skandobs	74686			CC_BY_4_0		Geir StÌüvset			2018-04-20T09:23Z		GEODETIC_DATUM_ASSUMED_WGS84",,,
"1838189680	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Felidae	Lynx	Lynx lynx		SPECIES	Lynx lynx (Linnaeus"," 1758)	NO	SÌürvik	46fec380-8e1d-11dd-8679-b8a03c50a862	68.81147	16.539899		16.0					2018-04-15T02:00Z	15	4	2018	2435240	2435240	HUMAN_OBSERVATION	NINA	Skandobs	74707			CC_BY_4_0		Lotte Luther			2018-04-20T09:23Z		GEODETIC_DATUM_ASSUMED_WGS84",,,,
"1838189679	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Gulo	Gulo gulo		SPECIES	Gulo gulo (Linnaeus"," 1758)	NO	Fuglstad	46fec380-8e1d-11dd-8679-b8a03c50a862	65.084182	12.36826		25.0					2018-04-14T02:00Z	14	4	2018	5219073	5219073	HUMAN_OBSERVATION	NINA	Skandobs	74653			CC_BY_4_0		Kristoffer Fuglstad			2018-04-20T09:23Z		GEODETIC_DATUM_ASSUMED_WGS84",,,,
"1838189678	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Gulo	Gulo gulo		SPECIES	Gulo gulo (Linnaeus"," 1758)	NO	Navitdalen KvÌ_nangen	46fec380-8e1d-11dd-8679-b8a03c50a862	69.767761	21.056974							2018-04-17T02:00Z	17	4	2018	5219073	5219073	HUMAN_OBSERVATION	NINA	Skandobs	74692			CC_BY_4_0		Eirik Rognmo			2018-04-20T09:23Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID",,,,
"1838189677	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Canidae	Canis	Canis lupus		SPECIES	Canis lupus Linnaeus"," 1758	NO	VÌ´gslia	46fec380-8e1d-11dd-8679-b8a03c50a862	59.741678	11.03486		2.0					2018-04-15T02:00Z	15	4	2018	5219173	5219173	HUMAN_OBSERVATION	NINA	Skandobs	74657			CC_BY_4_0		Trond Gjestad			2018-04-20T09:23Z		GEODETIC_DATUM_ASSUMED_WGS84",,,,
"1838189676	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Felidae	Lynx	Lynx lynx		SPECIES	Lynx lynx (Linnaeus"," 1758)	NO	Salcu skaidi (skierrevarri)	46fec380-8e1d-11dd-8679-b8a03c50a862	69.156372	24.700328							2018-04-13T02:00Z	13	4	2018	2435240	2435240	HUMAN_OBSERVATION	NINA	Skandobs	74696			CC_BY_4_0		Ailo Sara			2018-04-20T09:23Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID",,,,
"1838189675	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Gulo	Gulo gulo		SPECIES	Gulo gulo (Linnaeus"," 1758)	NO	Nova	46fec380-8e1d-11dd-8679-b8a03c50a862	68.622977	17.188784		4.0					2018-04-13T02:00Z	13	4	2018	5219073	5219073	HUMAN_OBSERVATION	NINA	Skandobs	74627			CC_BY_4_0		Tom Elvevoll			2018-04-20T09:23Z		GEODETIC_DATUM_ASSUMED_WGS84",,,,
"1838189674	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Gulo	Gulo gulo		SPECIES	Gulo gulo (Linnaeus"," 1758)	NO	Hamran"," Innset	46fec380-8e1d-11dd-8679-b8a03c50a862	62.708464	10.148309		5.0					2018-04-18T02:00Z	18	4	2018	5219073	5219073	HUMAN_OBSERVATION	NINA	Skandobs	74700			CC_BY_4_0		KÌ´re Ola Botnan			2018-04-20T09:23Z		GEODETIC_DATUM_ASSUMED_WGS84",,,
"1838189673	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Felidae	Lynx	Lynx lynx		SPECIES	Lynx lynx (Linnaeus"," 1758)	NO	Jordalen	46fec380-8e1d-11dd-8679-b8a03c50a862	63.00918	8.193908		5.0					2018-03-27T02:00Z	27	3	2018	2435240	2435240	HUMAN_OBSERVATION	NINA	Skandobs	74698			CC_BY_4_0		Lars Erling Koksvik			2018-04-20T09:23Z		GEODETIC_DATUM_ASSUMED_WGS84",,,,
"1838189672	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Gulo	Gulo gulo		SPECIES	Gulo gulo (Linnaeus"," 1758)	NO	VeslelgevasshÌüa	46fec380-8e1d-11dd-8679-b8a03c50a862	62.001618	9.968992		5.0					2018-04-11T02:00Z	11	4	2018	5219073	5219073	HUMAN_OBSERVATION	NINA	Skandobs	74667			CC_BY_4_0		Ingar Elgevasslien			2018-04-20T09:23Z		GEODETIC_DATUM_ASSUMED_WGS84",,,,
"1838189671	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Canidae	Canis	Canis lupus		SPECIES	Canis lupus Linnaeus"," 1758	NO	LangtjÌünn	46fec380-8e1d-11dd-8679-b8a03c50a862	59.705861	11.703386		5.0					2018-04-13T02:00Z	13	4	2018	5219173	5219173	HUMAN_OBSERVATION	NINA	Skandobs	74629			CC_BY_4_0		Terje Skogan			2018-04-20T09:23Z		GEODETIC_DATUM_ASSUMED_WGS84",,,,
"1838189670	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Gulo	Gulo gulo		SPECIES	Gulo gulo (Linnaeus"," 1758)	NO	Mandal KÌ´fjord	46fec380-8e1d-11dd-8679-b8a03c50a862	69.7655	21.059069		2.0					2018-04-18T02:00Z	18	4	2018	5219073	5219073	HUMAN_OBSERVATION	NINA	Skandobs	74691			CC_BY_4_0		Eirik Rognmo			2018-04-20T09:23Z		GEODETIC_DATUM_ASSUMED_WGS84",,,,
"1838189669	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Gulo	Gulo gulo		SPECIES	Gulo gulo (Linnaeus"," 1758)	NO	Andfjellet	46fec380-8e1d-11dd-8679-b8a03c50a862	66.421395	15.236091		5.0					2018-04-14T02:00Z	14	4	2018	5219073	5219073	HUMAN_OBSERVATION	NINA	Skandobs	74652			CC_BY_4_0		Geir SnefjellÌ´			2018-04-20T09:23Z		GEODETIC_DATUM_ASSUMED_WGS84",,,,
"1838189668	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Felidae	Lynx	Lynx lynx		SPECIES	Lynx lynx (Linnaeus"," 1758)	NO	Jordalen	46fec380-8e1d-11dd-8679-b8a03c50a862	63.009236	8.194152		5.0					2018-03-29T02:00Z	29	3	2018	2435240	2435240	HUMAN_OBSERVATION	NINA	Skandobs	74699			CC_BY_4_0		Lars Erling Koksvik			2018-04-20T09:23Z		GEODETIC_DATUM_ASSUMED_WGS84",,,,
"1838189667	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Felidae	Lynx	Lynx lynx		SPECIES	Lynx lynx (Linnaeus"," 1758)	NO	Jordalen	46fec380-8e1d-11dd-8679-b8a03c50a862	63.009232	8.194054		5.0					2018-04-10T02:00Z	10	4	2018	2435240	2435240	HUMAN_OBSERVATION	NINA	Skandobs	74697			CC_BY_4_0		Lars Erling Koksvik			2018-04-20T09:23Z		GEODETIC_DATUM_ASSUMED_WGS84",,,,
"1838189666	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Gulo	Gulo gulo		SPECIES	Gulo gulo (Linnaeus"," 1758)	NO	Skreddalen"," Baklia	46fec380-8e1d-11dd-8679-b8a03c50a862	67.159025	14.879587		5.0					2018-04-11T02:00Z	11	4	2018	5219073	5219073	HUMAN_OBSERVATION	NINA	Skandobs	74651			CC_BY_4_0		Geir StÌüvset			2018-04-20T09:23Z		GEODETIC_DATUM_ASSUMED_WGS84",,,
"1838189665	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Gulo	Gulo gulo		SPECIES	Gulo gulo (Linnaeus"," 1758)	NO	Skreddalen"," Baklia	46fec380-8e1d-11dd-8679-b8a03c50a862	67.159025	14.879587		5.0					2018-04-16T02:00Z	16	4	2018	5219073	5219073	HUMAN_OBSERVATION	NINA	Skandobs	74687			CC_BY_4_0		Geir StÌüvset			2018-04-20T09:23Z		GEODETIC_DATUM_ASSUMED_WGS84",,,
"1838189664	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Felidae	Lynx	Lynx lynx		SPECIES	Lynx lynx (Linnaeus"," 1758)	NO	Koksvik	46fec380-8e1d-11dd-8679-b8a03c50a862	62.909785	8.215476		5.0					2018-04-09T02:00Z	9	4	2018	2435240	2435240	HUMAN_OBSERVATION	NINA	Skandobs	74694			CC_BY_4_0		Lars Erling Koksvik			2018-04-20T09:23Z		GEODETIC_DATUM_ASSUMED_WGS84",,,,
"1838189663	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Gulo	Gulo gulo		SPECIES	Gulo gulo (Linnaeus"," 1758)	NO	Larsrabben ca.1.5 km fra BjÌürnsmo mot Ì÷verlia	46fec380-8e1d-11dd-8679-b8a03c50a862	69.045547	18.500866		30.0					2018-04-13T02:00Z	13	4	2018	5219073	5219073	HUMAN_OBSERVATION	NINA	Skandobs	74631			CC_BY_4_0		Tor Eriksen			2018-04-20T09:23Z		GEODETIC_DATUM_ASSUMED_WGS84",,,,
"1838189662	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Gulo	Gulo gulo		SPECIES	Gulo gulo (Linnaeus"," 1758)	NO	storvatne	46fec380-8e1d-11dd-8679-b8a03c50a862	65.018398	12.257339		5.0					2018-04-13T02:00Z	13	4	2018	5219073	5219073	HUMAN_OBSERVATION	NINA	Skandobs	74655			CC_BY_4_0		Marius Iversen			2018-04-20T09:23Z		GEODETIC_DATUM_ASSUMED_WGS84",,,,
"1838189661	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Gulo	Gulo gulo		SPECIES	Gulo gulo (Linnaeus"," 1758)	NO	Kampaksla pÌ´ Kampen i Skoelvdalen	46fec380-8e1d-11dd-8679-b8a03c50a862	69.04551	18.500692		12.0					2018-04-15T02:00Z	15	4	2018	5219073	5219073	HUMAN_OBSERVATION	NINA	Skandobs	74662			CC_BY_4_0		Tor Eriksen			2018-04-20T09:23Z		GEODETIC_DATUM_ASSUMED_WGS84",,,,
"1838189660	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Gulo	Gulo gulo		SPECIES	Gulo gulo (Linnaeus"," 1758)	NO	Bergsheia	46fec380-8e1d-11dd-8679-b8a03c50a862	64.333838	11.511949							2018-04-14T02:00Z	14	4	2018	5219073	5219073	HUMAN_OBSERVATION	NINA	Skandobs	74647			CC_BY_4_0		Tomas Thomasson			2018-04-20T09:23Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID",,,,
"1838189659	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Gulo	Gulo gulo		SPECIES	Gulo gulo (Linnaeus"," 1758)	NO	Kattaskar	46fec380-8e1d-11dd-8679-b8a03c50a862	59.616184	6.029479		5.0					2018-03-30T02:00Z	30	3	2018	5219073	5219073	HUMAN_OBSERVATION	NINA	Skandobs	74677			CC_BY_4_0		Harald Selsaas			2018-04-20T09:23Z		GEODETIC_DATUM_ASSUMED_WGS84",,,,
"1838189658	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Gulo	Gulo gulo		SPECIES	Gulo gulo (Linnaeus"," 1758)	NO	Helgedalen	46fec380-8e1d-11dd-8679-b8a03c50a862	59.786788	6.427169		5.0					2018-04-12T02:00Z	12	4	2018	5219073	5219073	HUMAN_OBSERVATION	NINA	Skandobs	74678			CC_BY_4_0		Harald Selsaas			2018-04-20T09:23Z		GEODETIC_DATUM_ASSUMED_WGS84",,,,
"1838189657	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Gulo	Gulo gulo		SPECIES	Gulo gulo (Linnaeus"," 1758)	NO	Hornset i Rendalen	46fec380-8e1d-11dd-8679-b8a03c50a862	61.757591	11.169117		10.0					2018-04-13T02:00Z	13	4	2018	5219073	5219073	HUMAN_OBSERVATION	NINA	Skandobs	74626			CC_BY_4_0		Ole Bood			2018-04-20T09:23Z		GEODETIC_DATUM_ASSUMED_WGS84",,,,
"1838189656	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Felidae	Lynx	Lynx lynx		SPECIES	Lynx lynx (Linnaeus"," 1758)	NO	BÌüyfoten	46fec380-8e1d-11dd-8679-b8a03c50a862	63.026716	7.900955		32.0					2018-04-13T02:00Z	13	4	2018	2435240	2435240	HUMAN_OBSERVATION	NINA	Skandobs	74639			CC_BY_4_0		Ragnhild Brevig Haukland			2018-04-20T09:23Z		GEODETIC_DATUM_ASSUMED_WGS84",,,,
"1838189655	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Gulo	Gulo gulo		SPECIES	Gulo gulo (Linnaeus"," 1758)	NO	Hornset i Rendalen	46fec380-8e1d-11dd-8679-b8a03c50a862	61.791651	11.154387		10.0					2018-04-13T02:00Z	13	4	2018	5219073	5219073	HUMAN_OBSERVATION	NINA	Skandobs	74638			CC_BY_4_0		Ole Bood			2018-04-20T09:23Z		GEODETIC_DATUM_ASSUMED_WGS84",,,,
"1838189654	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Gulo	Gulo gulo		SPECIES	Gulo gulo (Linnaeus"," 1758)	NO	Hamran"," Innset	46fec380-8e1d-11dd-8679-b8a03c50a862	62.709043	10.147626		5.0					2018-04-19T02:00Z	19	4	2018	5219073	5219073	HUMAN_OBSERVATION	NINA	Skandobs	74708			CC_BY_4_0		KÌ´re Ola Botnan			2018-04-20T09:23Z		GEODETIC_DATUM_ASSUMED_WGS84",,,
"1838189653	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Gulo	Gulo gulo		SPECIES	Gulo gulo (Linnaeus"," 1758)	NO	Langryggveien	46fec380-8e1d-11dd-8679-b8a03c50a862	60.898481	12.071577		5.0					2018-04-13T02:00Z	13	4	2018	5219073	5219073	HUMAN_OBSERVATION	NINA	Skandobs	74630			CC_BY_4_0		Trond Burud			2018-04-20T09:23Z		GEODETIC_DATUM_ASSUMED_WGS84",,,,
"1838189652	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Felidae	Lynx	Lynx lynx		SPECIES	Lynx lynx (Linnaeus"," 1758)	NO	Hellandsvetten	46fec380-8e1d-11dd-8679-b8a03c50a862	67.99343	16.023172		5.0					2018-04-15T02:00Z	15	4	2018	2435240	2435240	HUMAN_OBSERVATION	NINA	Skandobs	74666			CC_BY_4_0		Christian Gulliksen			2018-04-20T09:23Z		GEODETIC_DATUM_ASSUMED_WGS84",,,,
"1838189651	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Gulo	Gulo gulo		SPECIES	Gulo gulo (Linnaeus"," 1758)	NO	KveÌ´a	46fec380-8e1d-11dd-8679-b8a03c50a862	60.978021	11.205184		2.0					2018-04-13T02:00Z	13	4	2018	5219073	5219073	HUMAN_OBSERVATION	NINA	Skandobs	74625			CC_BY_4_0		Christian Dufseth			2018-04-20T09:23Z		GEODETIC_DATUM_ASSUMED_WGS84",,,,
"1837909448	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Felidae	Lynx	Lynx lynx		SPECIES	Lynx lynx (Linnaeus"," 1758)	NO	VanntÌ´rn	46fec380-8e1d-11dd-8679-b8a03c50a862	60.861504	11.533789		15.0					2018-04-11T02:00Z	11	4	2018	2435240	2435240	HUMAN_OBSERVATION	NINA	Skandobs	74593			CC_BY_4_0		Lars Mellemstuen			2018-04-13T08:55Z		GEODETIC_DATUM_ASSUMED_WGS84",,,,
"1837909447	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Felidae	Lynx	Lynx lynx		SPECIES	Lynx lynx (Linnaeus"," 1758)	NO	Ì÷yalia	46fec380-8e1d-11dd-8679-b8a03c50a862	62.803635	8.742737							2018-04-09T02:00Z	9	4	2018	2435240	2435240	HUMAN_OBSERVATION	NINA	Skandobs	74547			CC_BY_4_0		Ola Einar Ì÷yen			2018-04-13T08:55Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID",,,,
"1837909446	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Felidae	Lynx	Lynx lynx		SPECIES	Lynx lynx (Linnaeus"," 1758)	NO	Burmavegen	46fec380-8e1d-11dd-8679-b8a03c50a862	61.059385	10.380956		32.0					2018-04-12T02:00Z	12	4	2018	2435240	2435240	HUMAN_OBSERVATION	NINA	Skandobs	74613			CC_BY_4_0		Andreas SkjÌ_rstad			2018-04-13T08:55Z		GEODETIC_DATUM_ASSUMED_WGS84",,,,
"1837909445	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Canidae	Canis	Canis lupus		SPECIES	Canis lupus Linnaeus"," 1758	NO	ÌÉsgreina"," Nannestad	46fec380-8e1d-11dd-8679-b8a03c50a862	60.190043	11.01232							2018-04-12T02:00Z	12	4	2018	5219173	5219173	HUMAN_OBSERVATION	NINA	Skandobs	74616			CC_BY_4_0		Joachim BrÌ_kke			2018-04-13T08:55Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID",,,
"1837909444	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Felidae	Lynx	Lynx lynx		SPECIES	Lynx lynx (Linnaeus"," 1758)	NO	Blindnesset	46fec380-8e1d-11dd-8679-b8a03c50a862	65.038443	12.546357		8.0					2018-04-09T02:00Z	9	4	2018	2435240	2435240	HUMAN_OBSERVATION	NINA	Skandobs	74581			CC_BY_4_0		Marius Iversen			2018-04-13T08:55Z		GEODETIC_DATUM_ASSUMED_WGS84",,,,
"1837909443	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Felidae	Lynx	Lynx lynx		SPECIES	Lynx lynx (Linnaeus"," 1758)	NO	Halsaskaret	46fec380-8e1d-11dd-8679-b8a03c50a862	62.8583	8.548618		5.0					2018-04-11T02:00Z	11	4	2018	2435240	2435240	HUMAN_OBSERVATION	NINA	Skandobs	74584			CC_BY_4_0		Anders RÌükkum			2018-04-13T08:55Z		GEODETIC_DATUM_ASSUMED_WGS84",,,,
"1837909442	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Canidae	Canis	Canis lupus		SPECIES	Canis lupus Linnaeus"," 1758	NO	Rafjellvegen	46fec380-8e1d-11dd-8679-b8a03c50a862	60.298618	12.125052		12.0					2018-04-08T02:00Z	8	4	2018	5219173	5219173	HUMAN_OBSERVATION	NINA	Skandobs	74528			CC_BY_4_0		Roy HÌügberget			2018-04-13T08:55Z		GEODETIC_DATUM_ASSUMED_WGS84",,,,
"1837909441	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Gulo	Gulo gulo		SPECIES	Gulo gulo (Linnaeus"," 1758)	NO	Gulldevillen	46fec380-8e1d-11dd-8679-b8a03c50a862	64.595561	12.336429		5.0					2018-04-09T02:00Z	9	4	2018	5219073	5219073	HUMAN_OBSERVATION	NINA	Skandobs	74565			CC_BY_4_0		Karl BrÌündbo			2018-04-13T08:55Z		GEODETIC_DATUM_ASSUMED_WGS84",,,,
"1837909440	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Felidae	Lynx	Lynx lynx		SPECIES	Lynx lynx (Linnaeus"," 1758)	NO	Grong	46fec380-8e1d-11dd-8679-b8a03c50a862	64.446725	12.285233		2.0					2018-04-10T02:00Z	10	4	2018	2435240	2435240	HUMAN_OBSERVATION	NINA	Skandobs	74577			CC_BY_4_0		Mats NygÌ´rd			2018-04-13T08:55Z		GEODETIC_DATUM_ASSUMED_WGS84",,,,
"1837909439	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Gulo	Gulo gulo		SPECIES	Gulo gulo (Linnaeus"," 1758)	NO	Fiskviklia	46fec380-8e1d-11dd-8679-b8a03c50a862	61.675323	11.171354							2018-04-11T02:00Z	11	4	2018	5219073	5219073	HUMAN_OBSERVATION	NINA	Skandobs	74586			CC_BY_4_0		Martin LÌükkebÌü			2018-04-13T08:55Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID",,,,
"1837909438	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Felidae	Lynx	Lynx lynx		SPECIES	Lynx lynx (Linnaeus"," 1758)	NO	Holla	46fec380-8e1d-11dd-8679-b8a03c50a862	63.31252	9.145378		19.0					2018-04-06T02:00Z	6	4	2018	2435240	2435240	HUMAN_OBSERVATION	NINA	Skandobs	74541			CC_BY_4_0		Vidar LangÌü			2018-04-13T08:55Z		GEODETIC_DATUM_ASSUMED_WGS84",,,,
"1837909437	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Felidae	Lynx	Lynx lynx		SPECIES	Lynx lynx (Linnaeus"," 1758)	NO	Meskestad	46fec380-8e1d-11dd-8679-b8a03c50a862	59.523134	9.852957							2018-04-08T02:00Z	8	4	2018	2435240	2435240	HUMAN_OBSERVATION	NINA	Skandobs	74531			CC_BY_4_0		Ann Karin Evju			2018-04-13T08:55Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID",,,,
"1837909436	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Ursidae	Ursus	Ursus arctos		SPECIES	Ursus arctos Linnaeus"," 1758	NO	KrÌ´kberget	46fec380-8e1d-11dd-8679-b8a03c50a862	61.055521	11.564826		5.0					2018-04-12T02:00Z	12	4	2018	2433433	2433433	HUMAN_OBSERVATION	NINA	Skandobs	74624			CC_BY_4_0		Simen Skavern			2018-04-13T08:55Z		GEODETIC_DATUM_ASSUMED_WGS84",,,,
"1837909435	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Gulo	Gulo gulo		SPECIES	Gulo gulo (Linnaeus"," 1758)	NO	RÌ´tÌ´sjÌühÌüa	46fec380-8e1d-11dd-8679-b8a03c50a862	62.260805	9.791576		5.0					2018-04-12T02:00Z	12	4	2018	5219073	5219073	HUMAN_OBSERVATION	NINA	Skandobs	74618			CC_BY_4_0		Trude Odden			2018-04-13T08:55Z		GEODETIC_DATUM_ASSUMED_WGS84",,,,
"1837909434	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Felidae	Lynx	Lynx lynx		SPECIES	Lynx lynx (Linnaeus"," 1758)	NO	Stranda	46fec380-8e1d-11dd-8679-b8a03c50a862	65.060909	12.483224		11.0					2018-04-05T02:00Z	5	4	2018	2435240	2435240	HUMAN_OBSERVATION	NINA	Skandobs	74506			CC_BY_4_0		Marius Iversen			2018-04-13T08:55Z		GEODETIC_DATUM_ASSUMED_WGS84",,,,
"1837909433	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Gulo	Gulo gulo		SPECIES	Gulo gulo (Linnaeus"," 1758)	NO	Tafjord SkjervebÌüen Kaldhusdal	46fec380-8e1d-11dd-8679-b8a03c50a862	62.203835	7.433201		20.0					2018-04-04T02:00Z	4	4	2018	5219073	5219073	HUMAN_OBSERVATION	NINA	Skandobs	74519			CC_BY_4_0		Rune HÌ´rberg			2018-04-13T08:55Z		GEODETIC_DATUM_ASSUMED_WGS84",,,,
"1837909432	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Felidae	Lynx	Lynx lynx		SPECIES	Lynx lynx (Linnaeus"," 1758)	NO	Sandnesvegen	46fec380-8e1d-11dd-8679-b8a03c50a862	64.239276	12.326095		32.0					2018-04-02T02:00Z	2	4	2018	2435240	2435240	HUMAN_OBSERVATION	NINA	Skandobs	74537			CC_BY_4_0		Anna Liisa JÌ´ma			2018-04-13T08:55Z		GEODETIC_DATUM_ASSUMED_WGS84",,,,
"1837909431	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Felidae	Lynx	Lynx lynx		SPECIES	Lynx lynx (Linnaeus"," 1758)	NO	Djupdalsmyra	46fec380-8e1d-11dd-8679-b8a03c50a862	61.869905	11.913903		5.0					2018-03-31T02:00Z	31	3	2018	2435240	2435240	HUMAN_OBSERVATION	NINA	Skandobs	74571			CC_BY_4_0		Anders Haugen			2018-04-13T08:55Z		GEODETIC_DATUM_ASSUMED_WGS84",,,,
